			
RESUMO PROPOSTA DE PREÇO 			
			
EMPREITADA GERAL - ROLL OUT			
Cliente :	HOTEL MUNDIAL - LISBOA		
Local :	LISBOA		
			
CAP.	DESIGNAÇÃO		TOTAL CAP.
			
A	ESTALEIRO		0.00 €
			
B	APOIO CONSTRUÇÃO CIVIL		0.00 €
			
C	ARQUITETURA		0.00 €
			
D	ÁGUAS/ESGOTOS		0.00 €
			
	VALOR TOTAL (Euros s/ IVA)	0.00 €	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
